,kepid
1966,7802719
1967,11030475
1970,5023956
1971,12401863
1972,5534941
1973,11121752
1974,11121752
1975,2990873
1977,10158729
1980,6047072
1981,9006186
1985,3862246
1986,4173026
1989,5350244
1991,10925113
1992,11769801
1994,1995519
1996,6198182
1997,10024051
1998,8676038
2000,8676038
2001,8073806
2002,10419312
2004,10453588
2007,7212184
2008,6956014
2009,9757613
2010,5307858
2011,6605493
2013,7259298
2015,6211812
2021,8611832
2022,8611832
2023,5621586
2024,9210387
2026,8559152
2027,2718778
2028,3122913
2029,9229657
2030,10415227
2032,9026749
2034,9159242
2035,12061096
2036,5794240
2037,6933567
2039,11303815
2040,6044553
2043,10027247
2044,6343170
2045,7107802
2046,11752632
2047,10028535
2049,5212220
2050,9964748
2051,9842937
2052,9757613
2056,11962284
2057,2573056
2058,6842682
2059,8890150
2060,8890150
2062,11360805
2063,9845898
2065,11922678
2068,5959719
2069,5544903
2070,5542983
2071,8256453
2072,9474493
2073,4551663
2076,11752908
2077,7021681
2078,4346178
2079,9664142
2080,10018233
2081,8081899
2082,10189557
2083,8478994
2085,9911882
2086,8631504
2087,8110767
2088,5471574
2089,6767840
2090,8379705
2091,9896018
2092,11037511
2093,9757613
2094,11818872
2095,11771430
2096,5513012
2097,11761199
2098,8074805
2100,2437505
2102,3533469
2103,8956706
2104,7047363
2105,11968463
2106,11968463
2108,9880190
2110,5392702
2111,8429566
2113,7673841
2115,5546691
2116,12156347
2120,8803882
2121,9893318
2123,5097868
2124,8570333
2125,8478994
2126,5036705
2128,9653622
2129,4391348
2131,8947520
2132,10468885
2133,12016267
2135,3861595
2136,5725087
2137,10489206
2138,3426367
2141,12110786
2144,5078939
2146,5339567
2147,4459924
2148,11080405
2151,10059645
2153,7183745
2154,8212002
2155,8004903
2156,8883329
2157,8883329
2158,3644653
2160,5514383
2161,10747445
2162,8022489
2163,8022489
2164,8022489
2165,9209624
2166,9209624
2169,8478994
2170,3946023
2171,7183745
2172,9177629
2173,7778767
2174,7515762
2175,5942949
2176,12120307
2177,12120307
2178,12120307
2180,9777251
2181,6864893
2182,11701407
2184,11288051
2185,10813132
2186,5857540
2188,7289317
2189,6500206
2190,5545815
2191,3116302
2192,7879433
2194,8463346
2196,10489206
2197,7531677
2198,10068659
2203,4055774
2204,6670075
2205,9395024
2208,6507427
2209,5521300
2210,8478994
2211,9753154
2212,9011825
2214,5174858
2215,11074835
2217,10407221
2218,5991936
2220,6269070
2221,6705137
2223,8345172
2225,12254378
2227,7604328
2228,11236244
2230,5042210
2231,12454461
2233,9635606
2234,3728701
2237,9390653
2239,11187837
2242,8025596
2243,5956787
2244,3642741
2245,12071037
2246,8494617
2247,10289119
2248,7382313
2249,9887224
2250,7542369
2253,11295426
2254,7289162
2255,3001885
2256,12306058
2257,6183511
2258,12469800
2259,4915638
2260,6351097
2261,8081905
2262,11465950
2263,9996632
2264,4665571
2265,4829935
2267,6199056
2268,11461433
2269,11818607
2270,8380709
2272,9108085
2273,5436013
2274,8676148
2275,9696358
2276,5039129
2277,4484336
2279,9757613
2282,10916600
2283,8429314
2284,9153570
2285,11768142
2289,8481129
2290,2142522
2292,8753896
2294,8746295
2295,10090257
2296,11295426
2297,10679583
2300,8757824
2301,9832208
2302,6124512
2303,10070468
2305,7584650
2306,11337566
2308,10202759
2309,5007345
2310,12120484
2311,6429812
2313,5385439
2315,4476423
2317,9851662
2320,8758204
2321,8733898
2322,8733898
2323,3228945
2324,7008149
2325,10332213
2329,5871985
2330,8292840
2333,11453592
2334,3834322
2336,11188249
2338,5097470
2339,4858610
2340,10591855
2341,4832175
2343,9451706
2346,4381282
2348,7609553
2349,10122538
2350,10122538
2352,5480640
2353,5480640
2354,5480640
2355,5175986
2356,9008737
2357,9008737
2358,9692128
2360,6521045
2361,8167959
2362,4075015
2363,6697605
2365,6294819
2368,3230753
2372,4180401
2373,6350476
2374,8292840
2375,5272233
2376,5272233
2377,11456382
2378,3130548
2381,4275117
2382,6545051
2383,5513866
2385,5688910
2386,6345732
2388,6345732
2389,8611257
2390,3861611
2393,10880507
2395,5443604
2396,12206313
2397,12206313
2398,9837661
2399,7769819
2401,12164564
2402,8190354
2404,10397751
2405,10397751
2407,7815931
2409,9642292
2413,8243283
2414,9837661
2415,9837661
2416,9092504
2417,5383248
2418,9092504
2419,10001368
2420,9466429
2421,4365442
2422,8885643
2423,5652893
2425,3957082
2426,8681833
2427,4138951
2428,3102384
2429,10471515
2431,8760040
2433,10098844
2434,9467404
2435,5308666
2438,6587105
2439,11662184
2440,11127479
2441,5428668
2442,5041569
2444,9899181
2445,9899181
2446,8884274
2450,4385148
2451,9838468
2452,6781548
2455,7673192
2456,7673192
2457,7673192
2458,7673192
2460,7670943
2462,5649833
2463,10518399
2464,5905822
2465,10793172
2466,10793172
2467,7136729
2468,6364276
2470,5108946
2471,8801316
2474,10876237
2475,12314973
2476,3346154
2477,5308387
2478,6233573
2479,10363281
2480,4861527
2481,5775129
2482,9898447
2483,5307568
2484,11135308
2486,6521045
2488,7019524
2490,9825174
2492,8429415
2493,5014903
2494,5980783
2496,8560804
2497,12008872
2498,8415200
2499,4072333
2500,9886361
2501,9886361
2502,3730335
2503,6528464
2505,10275766
2506,10275766
2508,5642620
2510,9652649
2511,11100670
2512,6129524
2513,5794570
2514,5794570
2515,5649325
2517,6779260
2519,5953297
2520,7659389
2521,9472074
2522,10842192
2523,2442448
2526,11283615
2527,7605093
2528,3859363
2530,12023078
2531,6364162
2532,7463685
2534,11231334
2536,6878240
2537,6878240
2538,2436378
2539,6614629
2541,4831728
2543,3336765
2544,4270565
2545,6528464
2546,11963206
2549,10068024
2550,9636563
2551,6937402
2553,2853828
2555,4035667
2556,9612825
2557,7826659
2558,7202957
2559,5513893
2560,10514430
2561,8095441
2563,12456601
2564,10341917
2565,3241604
2566,9591070
2568,7428736
2569,5817986
2570,11129258
2571,10586004
2574,7202957
2575,6521045
2576,5790807
2577,8892303
2579,5369827
2581,6586746
2582,9962455
2583,9962455
2585,6436029
2586,6197215
2587,9451706
2588,9244508
2591,3657176
2592,3969687
2593,9369366
2594,6716545
2596,2989706
2597,5185897
2598,5185897
2599,5185897
2601,9881077
2602,3097346
2603,5717567
2604,6265792
2605,9995402
2607,5609593
2608,5436338
2611,2708885
2612,6612284
2613,10586004
2614,4483138
2615,9475552
2616,9475552
2617,8292840
2622,3545135
2623,6964929
2624,6432345
2627,6607357
2628,6607357
2629,9451706
2631,5471202
2632,9640439
2633,9693006
2636,6627507
2637,5128673
2638,6690836
2640,5481148
2642,7877978
2643,7903086
2644,12024120
2645,8210018
2646,3642289
2647,3642289
2648,3662838
2649,5966322
2650,6029239
2652,12107021
2654,12404954
2656,2438070
2660,3642335
2661,3328052
2663,9119568
2664,9119568
2665,9020114
2666,6196457
2669,6063220
2670,6071903
2673,11623629
2675,4815520
2676,6603043
2677,7175184
2678,7109851
2681,11403530
2682,5088536
2684,6609270
2685,12406807
2686,8046689
2687,5096590
2688,9650989
2692,7024511
2693,7050989
2694,7175184
2695,8494142
2696,11554435
2697,8494142
2698,5652983
2699,6471021
2700,7906671
2703,3348285
2704,11618601
2708,9959589
2709,9025922
2710,6196457
2711,7050989
2712,7419318
2713,7419318
2717,7364176
2718,8686097
2719,12356617
2720,12643589
2721,12643589
2722,3323887
2723,11618601
2724,7732285
2725,9716391
2726,6929841
2727,5088536
2728,5124254
2734,7700622
2738,3323887
2740,3323887
2741,2449074
2744,11137180
2745,9838804
2750,11572193
2751,11285870
2754,6196457
2755,8121310
2756,8156120
2758,8700558
2759,8753657
2761,3847708
2762,3849155
2763,3858804
2764,3942670
2765,3942670
2767,10585738
2768,7186665
2770,6388770
2772,7676423
2775,11720424
2776,7837302
2777,8753657
2778,8948424
2780,9641041
2781,9724984
2782,2452450
2784,3231137
2785,3353050
2787,5695396
2788,5217891
2790,8051946
2794,11499192
2795,12416661
2800,9881662
2801,9881662
2802,9895004
2803,3656121
2804,10620329
2805,3656121
2806,3733628
2807,3831053
2813,4076976
2814,8751796
2815,7097534
2818,9527334
2819,10031885
2822,10285631
2823,3964109
2824,4159347
2825,3544595
2826,4165960
2828,4376644
2829,9301506
2830,5695396
2831,9714550
2832,6263593
2835,10252275
2836,10252275
2837,11455181
2839,10290666
2840,10337258
2841,10383687
2844,12314973
2848,5091016
2851,8827575
2852,2716801
2854,7216284
2855,8703887
2856,9899352
2857,6945786
2858,5978170
2859,5440317
2860,10545066
2861,6056992
2862,10552611
2863,10552611
2866,6948480
2868,11090556
2869,11090556
2870,10686814
2872,6021275
2874,8192911
2877,5688790
2878,1717722
2880,10908248
2881,10616571
2884,10982872
2885,10982872
2886,2720514
2887,4141376
2888,9468551
2892,4857058
2893,10924562
2894,9899505
2896,7534267
2898,10611420
2899,10386922
2900,10386922
2901,10982872
2902,3558981
2903,11015108
2905,11100383
2907,8847111
2908,4568298
2910,4374339
2911,6636320
2913,4847782
2914,6021275
2915,10350571
2918,10488450
2919,10933561
2920,10933561
2923,11075737
2924,11189127
2925,11194032
2926,11394027
2929,11442793
2930,5520547
2931,4848424
2933,4143755
2936,6072593
2937,5865654
2940,8197560
2941,11200415
2943,11259686
2947,11442793
2949,11442793
2950,2445975
2954,6531496
2955,3848275
2956,12021625
2957,9777256
2958,4175630
2959,7433585
2960,6665223
2964,6021275
2965,10619142
2967,11905011
2970,2692377
2971,3742855
2973,11568987
2974,11568987
2975,11621223
2976,11624249
2977,12017140
2979,5702939
2980,3852655
2981,11255231
2982,5088536
2983,6103377
2984,6677841
2988,3324986
2990,8037145
2991,8162789
2995,10098844
