,star_key
1014,300.9296_44.02879
1015,291.41833_42.57982
1016,294.36673_42.25268
1018,288.01486_46.34895
1019,282.36349_46.67524
1020,289.42459_50.99412
1021,295.40253_50.47863
1022,294.52713_43.36816
1023,295.26349_46.14802
1026,297.50385_40.34297
1027,283.12964_43.88824
1029,290.59207_45.73714
1030,290.98331_45.9733
1033,299.60202_43.696
1034,282.62967_46.32336
1035,295.41745_43.60564
1036,286.88751_50.37707
1037,291.64676_41.88466
1038,296.98853_46.59688
1040,297.82944_40.70678
1041,288.73407_46.93939
1042,296.84616_40.13861
1046,298.46579_48.55941
1047,284.64886_41.01502
1048,298.60788_46.45368
1049,298.60788_46.45368
1050,298.14053_40.07387
1051,282.96616_48.34507
1052,299.95721_44.77189
1053,289.32101_46.13432
1054,283.13547_43.65705
1055,283.13547_43.65705
1056,296.4032_51.27134
1057,294.95685_43.01433
1058,297.91687_46.96513
1059,297.91687_46.96513
1060,296.99191_40.75891
1061,297.79514_40.41771
1062,298.29495_48.77546
1063,298.29495_48.77546
1064,284.13263_48.82512
1065,284.13287_49.14261
1066,294.94388_39.03206
1067,294.94388_39.03206
1068,294.14682_39.12706
1070,297.3013_43.14189
1072,289.85913_46.52267
1073,285.2962_46.60344
1074,298.17722_42.23704
1075,297.79514_40.41771
1076,292.85574_46.39118
1077,289.29065_51.40889
1078,294.73419_40.86142
1079,294.83032_46.73435
1080,284.29694_49.15868
1081,284.61621_49.19081
1082,283.79654_49.50399
1087,287.60559_49.52326
1088,287.60559_49.52326
1089,295.80658_50.9098
1091,288.92575_39.90155
1092,281.97125_43.67277
1093,288.99258_46.67075
1094,293.66507_40.35953
1095,282.43918_43.73448
1096,282.43918_43.73448
1097,290.58685_51.69582
1098,286.58539_46.87093
1099,295.28723_41.22196
1101,290.73804_39.91965
1102,294.13202_39.98198
1103,294.74207_43.53683
1104,287.14313_46.50806
1106,287.80457_46.23893
1108,294.6499_43.33559
1109,287.03952_46.64013
1110,287.03952_46.64013
1111,286.43365_50.30033
1113,297.48257_40.68078
1114,296.17728_46.99902
1115,291.15295_40.88749
1116,294.17108_40.05517
1118,290.10654_40.49066
1119,288.25864_43.37646
1120,296.91724_43.51753
1121,297.17429_43.4791
1122,292.03149_49.38862
1123,292.58444_49.92316
1124,288.66156_49.73721
1125,286.27176_43.59523
1126,290.09082_39.81699
1127,298.25204_40.49608
1128,298.25204_40.49608
1129,298.25204_40.49608
1130,298.25204_40.49608
1131,298.25204_40.49608
1132,289.67935_40.70046
1133,295.28723_41.22196
1134,290.92316_40.77103
1135,289.38351_41.39269
1136,298.82254_46.65027
1137,293.26093_44.86889
1139,297.35233_46.09594
1140,288.76318_50.17422
1141,290.09082_39.81699
1142,295.52121_49.73863
1144,296.62979_46.8802
1145,284.664_43.98502
1146,294.36487_40.72088
1148,293.53448_41.3299
1149,293.87988_41.39382
1150,298.50726_41.47905
