koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
3.341913228,9.953e-06,-9.953e-06,1.213,11.28,-0.141,3.813,0.12,-0.12,725.3,21.3,-21.3,21.55,3.54,-1.89,,,268.67,145.91,-70.67,39.0,5295.0,175.0,-159.0,4.551,0.049,-0.105,0.811,0.133,-0.071,292.31595,38.27029,15.629
1.626630225,1.015e-06,-1.015e-06,1.26,4.827,-0.043,2.1145,0.0285,-0.0285,1620.6,19.0,-19.0,32.43,9.0,-4.83,,,1355.88,1105.99,-486.6,103.6,5735.0,155.0,-172.0,4.41,0.124,-0.186,0.973,0.27,-0.145,294.36819,38.31028,15.279
7.21203748,1.553e-05,-1.553e-05,0.012,0.394,-0.012,4.0491,0.058,-0.058,950.4,19.5,-19.5,3.32,1.09,-0.36,,,260.58,252.7,-84.01,51.5,6214.0,174.0,-239.0,4.442,0.054,-0.216,1.076,0.353,-0.118,291.65353,38.494659,15.541
14.1798187,0.0001643,-0.0001643,0.1601,0.2975,-0.16,2.505,0.315,-0.315,459.9,51.9,-51.9,1.88,0.71,-0.14,,,60.35,67.75,-14.34,11.2,5799.0,161.0,-168.0,4.539,0.027,-0.275,0.878,0.333,-0.065,291.0448,51.321671,15.727
60.4189369,0.0005043,-0.0005043,0.094,0.359,-0.094,5.039,0.184,-0.184,931.3,49.6,-49.6,2.36,0.34,-0.2,,,5.49,2.58,-1.4,20.1,5354.0,159.0,-159.0,4.587,0.032,-0.104,0.788,0.113,-0.066,296.36652,51.319519,15.339
12.611904345,6.65e-06,-6.65e-06,0.55,0.065,-0.128,5.1497,0.0592,-0.0592,6105.6,27.6,-27.6,7.4,2.2,-0.73,,,76.15,66.33,-21.39,277.2,5795.0,156.0,-173.0,4.508,0.039,-0.208,0.919,0.273,-0.091,289.11221,51.737381,15.14
1.433769925,7.41e-07,-7.41e-07,1.268,5.652,-0.123,1.8868,0.0232,-0.0232,1976.3,20.4,-20.4,46.58,8.01,-8.0,,,3209.29,1411.94,-1136.62,112.6,6017.0,72.0,-90.0,4.22,0.156,-0.117,1.339,0.23,-0.23,290.84369,37.728828,15.122
10.31872301,2.846e-05,-2.846e-05,1.215,59.52,-0.463,3.836,0.121,-0.121,871.7,26.4,-26.4,28.59,8.61,-3.69,,,139.26,125.69,-46.77,38.2,5927.0,176.0,-193.0,4.409,0.084,-0.196,1.06,0.319,-0.137,291.84891,37.713501,15.065
2.539183147,5.073e-06,-5.073e-06,0.238,0.198,-0.238,2.4282,0.0559,-0.0559,382.1,11.4,-11.4,2.06,0.29,-0.28,,,743.09,290.34,-212.44,38.9,5519.0,82.0,-74.0,4.35,0.126,-0.103,1.062,0.154,-0.14,291.43997,37.905659,15.026
6.770300385,9.537e-06,-9.537e-06,0.838,0.083,-0.589,2.0844,0.0454,-0.0454,1304.0,29.7,-29.7,2.77,0.46,-0.15,,,102.87,53.88,-21.24,50.8,5653.0,166.0,-166.0,4.656,0.028,-0.112,0.679,0.112,-0.037,290.87051,38.273628,15.591
0.444291966,9.7e-08,-9.7e-08,1.258,0.334,-0.141,2.0792,0.0115,-0.0115,10967.0,45.9,-45.9,27.51,3.46,-1.73,,,2706.26,1149.42,-599.58,299.7,5255.0,156.0,-156.0,4.678,0.028,-0.083,0.636,0.08,-0.04,290.99689,38.28492,15.748
3.895936525,7.71e-07,-7.71e-07,0.524,0.069,-0.237,2.3111,0.0302,-0.0302,8544.8,29.5,-29.5,7.34,1.53,-0.65,,,241.62,155.31,-64.19,370.8,5557.0,167.0,-167.0,4.592,0.034,-0.136,0.774,0.161,-0.069,294.65524,39.308361,15.725
22.36646466,9.761e-05,-9.761e-05,0.4,0.066,-0.4,5.228,0.122,-0.122,986.8,35.1,-35.1,2.32,0.38,-0.16,,,19.45,10.29,-4.56,32.1,5395.0,160.0,-160.0,4.615,0.032,-0.104,0.734,0.122,-0.052,294.71063,39.52174,15.583
1.625522174,1.58e-07,-1.58e-07,0.076,0.022,-0.076,2.38963,0.00338,-0.00338,7969.0,11.8,-11.8,9.73,1.41,-1.42,,,1467.41,576.36,-452.24,799.7,5539.0,83.0,-74.0,4.322,0.137,-0.1,1.106,0.161,-0.161,293.87192,38.422939,15.001
7.544039,0.0001023,-0.0001023,1.175,33.63,-0.911,6.222,0.731,-0.731,322.6,28.2,-28.2,17.47,4.12,-1.65,,,116.46,81.18,-31.91,14.2,5657.0,152.0,-169.0,4.567,0.038,-0.152,0.824,0.194,-0.078,293.94116,38.601101,15.559
9.02930689,1.648e-05,-1.648e-05,0.024,0.401,-0.024,3.1449,0.0528,-0.0528,1019.8,21.9,-21.9,2.57,0.44,-0.26,,,77.75,43.01,-22.28,53.9,5349.0,167.0,-167.0,4.526,0.063,-0.108,0.82,0.141,-0.082,290.33362,38.72823,15.387
10.328035714,3.762e-06,-3.762e-06,0.281,0.04,-0.064,7.7915,0.0272,-0.0272,16918.0,31.8,-31.8,13.28,3.64,-2.41,,,119.31,98.49,-48.58,636.8,5627.0,169.0,-169.0,4.359,0.18,-0.18,1.024,0.28,-0.186,287.69675,38.886452,15.646
6.164876,4.635e-05,-4.635e-05,0.646,0.323,-0.43,3.262,0.186,-0.186,55.8,4.3,-4.3,0.79,0.13,-0.08,,,256.35,109.03,-65.57,14.4,5854.0,105.0,-117.0,4.406,0.09,-0.11,1.012,0.154,-0.103,300.86398,44.337551,12.882
1.540397253,2.702e-06,-2.702e-06,1.225,6.813,-0.101,2.1541,0.0846,-0.0846,816.1,25.7,-25.7,25.69,7.44,-2.33,,,1105.68,965.56,-306.98,38.8,5663.0,171.0,-188.0,4.53,0.036,-0.204,0.915,0.265,-0.083,286.92639,38.921631,15.974
2.99025443,1.168e-05,-1.168e-05,0.014,0.334,-0.014,5.414,0.113,-0.113,589.2,14.1,-14.1,1.7,0.1,-0.15,,,168.45,43.55,-45.45,48.5,4667.0,140.0,-154.0,4.578,0.048,-0.028,0.731,0.042,-0.063,287.74881,38.92955,15.842
1.594745374,1.13e-07,-1.13e-07,0.514,0.022,-0.037,1.9604,0.0106,-0.0106,15044.0,20.3,-20.3,11.3,3.09,-1.33,,,1329.42,1067.75,-412.98,1009.3,5934.0,160.0,-178.0,4.491,0.065,-0.195,0.893,0.244,-0.105,285.21381,39.027481,15.53
4.783002698,5.432e-06,-5.432e-06,0.003,0.425,-0.003,2.335,0.0332,-0.0332,1008.7,16.6,-16.6,2.5,0.34,-0.19,,,145.48,66.39,-35.12,70.6,5170.0,155.0,-155.0,4.574,0.026,-0.097,0.807,0.111,-0.06,287.09399,39.060719,15.119
20.50588921,3.206e-05,-3.206e-05,0.26,0.151,-0.26,4.0595,0.0481,-0.0481,2105.5,31.0,-31.0,3.41,0.28,-0.31,,,17.06,5.47,-4.61,78.5,4905.0,148.0,-148.0,4.544,0.072,-0.044,0.761,0.063,-0.07,289.31543,39.153278,15.398
3.340218842,3.177e-06,-3.177e-06,0.466,0.002,-0.437,1.9104,0.0318,-0.0318,1632.6,26.6,-26.6,2.03,0.13,-0.17,,,43.73,9.67,-9.92,71.6,3950.0,70.0,-86.0,4.754,0.042,-0.031,0.493,0.033,-0.04,286.07913,39.27832,15.954
2.507089906,2.401e-06,-2.401e-06,1.255,16.5,-0.349,2.0067,0.0427,-0.0427,1339.2,24.7,-24.7,30.26,9.57,-3.19,,,730.47,699.82,-230.11,64.9,5926.0,184.0,-226.0,4.506,0.054,-0.216,0.939,0.297,-0.099,295.37805,40.493401,15.555
